drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"ACETHIO 500 MG / 2 MG, Comprimé",Boite de 20,500 MG | 2 MG,SYNTHEMEDIC,Paracetamol | Thiocolchicoside,"Antalgique, antipyrétique, décontracturant et myorelaxant",Commercialisé,M03,34.60 dhs,21.60 dhs,A,,Médicament,Traitement d'appoint des contractures musculaires douloureuses en rhumatologie.,,,,,,,,,,,,,,,,,,,,,,,
"ACFOL 5 MG, Comprimé",Boite de 28,5 MG,VERSALYA SA,Acide folique,Antianémique,Commercialisé,B03BB01,24.50 dhs,15.30 dhs,Aucun,,Médicament,"Prévention et traitement de carence en acide folique chez les femmes enceintes pour la prévention d’anomalies du tube neural (spina bifida, anencéphalie, encéphalocèle) et autres anomalies congénitales, spécialement chez les femmes ayant eu un enfant ou un fœtus porteur de ces anomalies du tube neural.

Traitement de la carence en acide folique associée à des affections telles : anémies mégaloblastiques, alcoolisme, syndrome de malabsorption.",,,,,,,,Cliquez ici,,,,,,,,,,,,,,,
"ACICLOVIR ARWA MEDIC 250 MG, Poudre pour solution pour perfusion IV en flacon de 10 ML",Boite de 5 flacons de 10 ML,250 MG,ARWA MEDIC,Aciclovir,Antiviral,Commercialisé,J05AB01,586.00 dhs,389.00 dhs,A,,,"CHEZ LE SUJET IMMUNODÉPRIMÉ
- Infections à virus Varicelle Zona (VZV),
- Infection à virus Herpes Simplex (HSV).

CHEZ LE SUJET IMMUNOCOMPTENT
Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,
- Varicelle du nouveau-né,
- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,
- Formes graves de varicelle chez l'enfant de moins de 1 an,
- Varicelle compliquée, en particulier de pneumopathie varicelleuse,
Infections à HSV
- Primo-infection génitale herpétique sévère,
- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,
- Traitement du syndrome de Kaposi Juliusberg,
- Traitement de la méningo-encéphalite herpétique.",,,,,,,,,,,,,,,,,,,,,,,
"ACICLOVIR ISIO 250 MG, Poudre pour solution injectable",Boite de 5 flacons,250 MG,ISIO LABORATOIRE,Aciclovir,Antiviral,Commercialisé,J05AB01,450.00 dhs,299.00 dhs,A,,,"CHEZ LE SUJET IMMUNODÉPRIMÉ
- Infections à virus Varicelle Zona (VZV),
- Infection à virus Herpes Simplex (HSV).

CHEZ LE SUJET IMMUNOCOMPTENT
Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,
- Varicelle du nouveau-né,
- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,
- Formes graves de varicelle chez l'enfant de moins de 1 an,
- Varicelle compliquée, en particulier de pneumopathie varicelleuse,
Infections à HSV
- Primo-infection génitale herpétique sévère,
- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,
- Traitement du syndrome de Kaposi Juliusberg,
- Traitement de la méningo-encéphalite herpétique.",,,,,,,,,,,,,,,,,,,,,,,
"ACICLOVIR VIATRIS 250 MG, Poudre pour solution injectable (IV)",Boite de 5 flacons de 10 ML,250 MG,VIATRIS PHARMACEUTICALS,Aciclovir,Antiviral,Commercialisé,J05AB01,628.00 dhs,417.00 dhs,A,,Médicament,"CHEZ LE SUJET IMMUNODÉPRIMÉ
- Infections à virus Varicelle Zona (VZV),
- Infection à virus Herpes Simplex (HSV).
CHEZ LE SUJET IMMUNOCOMPTENT
Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,
- Varicelle du nouveau-né,
- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,
- Formes graves de varicelle chez l'enfant de moins de 1 an,
- Varicelle compliquée, en particulier de pneumopathie varicelleuse,
Infections à HSV
- Primo-infection génitale herpétique sévère,
- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,
- Traitement du syndrome de Kaposi Juliusberg,
- Traitement de la méningo-encéphalite herpétique.",,,,,,,,,,,,,,,,,,,,,,,
"ACIDE ALENDRONIQUE GT 70 MG, Comprimé pelliculé",Boîte de 4,70 MG,ATLAS PHARM,Alendronate,"Régulateur du métabolisme osseux, bisphosphonate",Commercialisé,M05BA04,164.50 dhs,102.80 dhs,A,,Médicament,"Régulateur du métabolisme osseux, bisphosphonate",,,,,,,,,,,,,,,,,,,,,,,
"ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML, Solution à diluer pour perfusion",Flacon de 5 ml,4 MG / 5 ML,VIATRIS PHARMACEUTICALS,Acide zolédronique,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1356.00 dhs,1088.00 dhs,A,,Médicament,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",,,,,,,,,,,,,,,,,,,,,,,
"ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ML,4 MG / 5 ML,PROMOPHARM (HIKMA),Acide zolédronique,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1356.00 dhs,1088.00 dhs,A,,,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",,,,,,,,,,,,,,,,,,,,,,,
"ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ml,4 MG / 5 ML,AMANYS PHARMA (Ex SAHAM PHARMA),Acide zolédronique,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1255.00 dhs,983.00 dhs,A,,,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",,,,,,,,,,,,,,,,,,,,,,,
"ACIGAM 100 MG, Comprimé sécable",Boite de 30,100 MG,BOTTU S.A.,Acide tiaprofénique,Anti-inflammatoire non stéroïdien,Commercialisé,M01AE11,27.00 dhs,16.90 dhs,C,,,"Elles sont limitées, chez l’adulte et l’enfant à partir de 15 kg (soit environ à partir de 4 ans), au :
- traitement symptomatique au long cours :
* des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde,
* de certaines arthroses douloureuses et invalidantes ;
- traitement symptomatique de courte durée :
* des poussées aiguës d’arthrose, de lombalgies,
* des affections aiguës post-traumatiques bénignes de l’appareil locomoteur ;
- dysménorrhée après recherche étiologique ;
- traitement symptomatique de la douleur au cours des manifestations inflammatoires dans les domaines ORL et stomatologiques. Dans cette indication, les risques encourus, en particulier l’extension d’un processus septique concomitant sont ceux des AINS. Ils doivent être évalués par rapport au bénéfice antalgique attendu.",,,,,,,,,,,,,,,,,,,,,,,
"ACIGAM 200 MG, Comprimé sécable",Boite de 20,200 MG,BOTTU S.A.,Acide tiaprofénique,Anti-inflammatoire non stéroïdien,Commercialisé,M01AE11,33.60 dhs,21.00 dhs,C,,,"Elles sont limitées, chez l’adulte et l’enfant à partir de 15 kg (soit environ à partir de 4 ans), au :
- traitement symptomatique au long cours :
* des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde,
* de certaines arthroses douloureuses et invalidantes ;
- traitement symptomatique de courte durée :
* des poussées aiguës d’arthrose, de lombalgies,
* des affections aiguës post-traumatiques bénignes de l’appareil locomoteur ;
- dysménorrhée après recherche étiologique ;
- traitement symptomatique de la douleur au cours des manifestations inflammatoires dans les domaines ORL et stomatologiques. Dans cette indication, les risques encourus, en particulier l’extension d’un processus septique concomitant sont ceux des AINS. Ils doivent être évalués par rapport au bénéfice antalgique attendu.",,,,,,,,,,,,,,,,,,,,,,,
"ACLASTA 5 MG / 100 ML, Solution pour perfusion",Flacon de 100 ml,5 MG / 100 ML,SOTHEMA,Acide zolédronique,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,3041.00 dhs,2718.00 dhs,A,,Médicament,,,Oui,,,,,,,,,,,,,,,,,,,,,
