dci_a,dci_b,level_fr,severity,mechanism,recommendation
ACIDE ACETYLSALICYLIQUE,PROBENECIDE,Association déconseillée,MAJOR,Diminution de l’effet uricosurique par compétition de l’élimination de l’acide urique au niveau des tubules rénaux. 5,
ACIDE ACETYLSALICYLIQUE,TICLOPIDINE,Association déconseillée,MAJOR,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,"Si l’association ne peut être évitée, surveillance clinique étroite."
ACIDE ASCORBIQUE,CICLOSPORINE,À prendre en compte,MINOR,"Risque de diminution des concentrations sanguines de la ciclosporine, notamment en cas d’association avec la vitamine E.",
ACIDE ASCORBIQUE,DÉFÉROXAMINE,Précaution d'emploi,MODERATE,"Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).","En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association."
ACIDE CHOLIQUE,"PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)",Contre-indication,MAJOR,Effet antagoniste du barbiturique.,
ACIDE CLODRONIQUE,ESTRAMUSTINE,Précaution d'emploi,MODERATE,Risque d’augmentation des concentrations plasmatiques d’estramustine par le clodronate.,Surveillance clinique au cours de l’association.
ACIDE FOLINIQUE,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",À prendre en compte,MINOR,"Potentialisation des effets, à la fois cytostatiques et indésirables, du fluoro-uracile.",
ACIDE FUSIDIQUE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Arrêter le traitement par l'inhibiteur de l'HMG Co-A réductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique.
ACIDE FUSIDIQUE,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son métabolisme hépatique par la bithérapie.,
ACIDE NICOTINIQUE,ALCOOL (BOISSON OU EXCIPIENT),À prendre en compte,MINOR,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur. 6",
ACIDE URSODESOXYCHOLIQUE,CICLOSPORINE,À prendre en compte,MINOR,Risque de variation des concentrations sanguines de ciclosporine.,
ACITRETINE,ALCOOL (BOISSON OU EXCIPIENT),Contre-indication,MAJOR,"Chez la femme en âge de procréer, risque de transformation de l’acitrétine en étrétinate, puissant tératogène dont la demi-vie très prolongée (120 jours) expose à un risque tératogène majeur en cas de grossesse, pendant le traitement et les 2 mois suivant son arrêt.",
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi,MODERATE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANTIDÉPRESSEURS IMIPRAMINIQUES,Précaution d'emploi,MODERATE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),IMAO IRRÉVERSIBLES,Précaution d'emploi,MODERATE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,Précaution d'emploi,MODERATE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
AFATINIB,AMIODARONE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques d’afatinib par augmentation de son absorption par l'amiodarone.,"Il est recommandé d’administrer l'amiodarone le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AFATINIB,CICLOSPORINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par la ciclosporine.,"Il est recommandé d’administrer la ciclosporine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AFATINIB,ERYTHROMYCINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'érythromycine.,"Il est recommandé d’administrer l'érythromycine le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AFATINIB,KETOCONAZOLE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par le kétoconazole.,"Il est recommandé d’administrer le kétoconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AFATINIB,PRIMIDONE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de l’afatinib par augmentation de son métabolisme par la primidone.,Surveillance clinique pendant l’association et 1 à 2 semaines après leur arrêt.
AFATINIB,RIFAMPICINE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de l’afatinib par augmentation de son métabolisme par la rifampicine.,Surveillance clinique pendant l’association et 1 à 2 semaines après leur arrêt.
AFATINIB,VERAPAMIL,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par le vérapamil.,"Il est recommandé d’administrer le vérapamil le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AGOMELATINE,CIPROFLOXACINE,Association déconseillée,MAJOR,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.",
AGOMELATINE,FLUVOXAMINE,Contre-indication,MAJOR,"Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.",
ALBENDAZOLE,INDUCTEURS ENZYMATIQUES PUISSANTS,Précaution d'emploi,MODERATE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par l’inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.
ALBENDAZOLE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi,MODERATE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par le ritonavir, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.
ALBENDAZOLE,RIFAMPICINE,Précaution d'emploi,MODERATE,"Diminution importante des concentrations plasmatiques de l’albendazole et de son métabolite actif par l’inducteur, avec risque de baisse de son efficacité.",Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l’albendazole pendant le traitement avec l’inducteur enzymatique et après son arrêt.
ALCALINISANTS URINAIRES,QUINIDINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excrétion rénale de la quinidine par alcalinisation des urines). 8,"Surveillance clinique, ECG et éventuellement contrôle de la quinidinémie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt."
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,Association déconseillée,MAJOR,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ANTIPARKINSONIENS ANTICHOLINERGIQUES,Précaution d'emploi,MODERATE,Risque de majoration des troubles neuropsychiques.,"Surveillance clinique et biologique régulière, notamment en début d'association."
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,MACROLIDES (SAUF SPIRAMYCINE),Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques du dopaminergique avec accroissement possible de son activité ou apparition de signes de surdosage.,
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),Association déconseillée,MAJOR,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES INDIRECTS,Association déconseillée,MAJOR,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,Association déconseillée,MAJOR,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,INHIBITEURS PUISSANTS DU CYP3A4,Contre-indication,MAJOR,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,LÉTERMOVIR,Contre-indication,MAJOR,"Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.",
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de l'alcaloïde de l'ergot de seigle vasoconstricteur par diminution de son métabolisme hépatique par la bithérapie.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),Association déconseillée,MAJOR,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES INDIRECTS,Association déconseillée,MAJOR,Risque de vasoconstriction et/ou de poussées hypertensives.,
ALCOOL (BOISSON OU EXCIPIENT),ACIDE NICOTINIQUE,À prendre en compte,MINOR,"Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur. 9",
ALCOOL (BOISSON OU EXCIPIENT),ANTABUSE (RÉACTION),Association déconseillée,MAJOR,"Effet antabuse (chaleur, rougeurs, vomissements, tachycardie).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool. Tenir compte de l’élimination complète des médicaments en se référant à leur demi-vie avant la reprise de boissons alcoolisées ou du médicament contenant de l’alcool.
ALCOOL (BOISSON OU EXCIPIENT),IMAO IRRÉVERSIBLES,Association déconseillée,MAJOR,"Majoration des effets hypertenseurs et/ou hyperthermiques de la tyramine présente dans certaines boissons alcoolisées (chianti, certaines bières, etc).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),INSULINE,Association déconseillée,MAJOR,Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation pouvant faciliter la survenue de coma hypoglycémique).,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),MÉDICAMENTS SÉDATIFS,Association déconseillée,MAJOR,Majoration par l'alcool de l'effet sédatif de ces substances. L'altération de la vigilance peut rendre dangereuses la conduite de véhicules et l'utilisation de machines.,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),METFORMINE,Association déconseillée,MAJOR,"Risque majoré d'acidose lactique lors d'intoxication alcoolique aiguë, particulièrement en cas de jeûne ou dénutrition, ou bien d'insuffisance hépatocellulaire.",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALCOOL (BOISSON OU EXCIPIENT),SULFAMIDES HYPOGLYCÉMIANTS,Association déconseillée,MAJOR,"Effet antabuse, notamment pour glibenclamide, glipizide, tolbutamide. Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation) pouvant faciliter la survenue de coma hypoglycémique.",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
ALFENTANIL,CIMETIDINE,Précaution d'emploi,MODERATE,Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par la cimétidine.
ALFENTANIL,DILTIAZEM,Précaution d'emploi,MODERATE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par le diltiazem.
ALFENTANIL,ERYTHROMYCINE,Précaution d'emploi,MODERATE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Adapter la posologie de l'alfentanil en cas de traitement par l'érythromycine.
ALFUZOSINE,INHIBITEURS PUISSANTS DU CYP3A4,Association déconseillée,MAJOR,Risque d’augmentation des concentrations plasmatiques de l’alfuzosine et de ses effets indésirables.,
ALFUZOSINE,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de l'afuzosine par diminution de son métabolisme hépatique par la bithérapie.,
ALLOPURINOL,ANTIVITAMINES K,Précaution d'emploi,MODERATE,Augmentation du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'allopurinol et 8 jours après son arrêt.
ALLOPURINOL,DIDANOSINE,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de didanosine et de ses effets indésirables.,
ALLOPURINOL,PÉNICILLINES A,À prendre en compte,MINOR,Risque accru de réactions cutanées.,
ALLOPURINOL,VIDARABINE,Association déconseillée,MAJOR,"Risque accru de troubles neurologiques (tremblements, confusion) par inhibition partielle du métabolisme de l'antiviral.",
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,Association déconseillée,MAJOR,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique sévère.,
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,À prendre en compte,MINOR,Majoration de l'effet hypotenseur. Risque d'hypotension orthostatique majoré.,
ALPHABLOQUANTS À VISÉE UROLOGIQUE,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,Association déconseillée,MAJOR,"Risque d’hypotension orthostatique, notamment chez le sujet âgé.",Association déconseillée : - avec la doxazosine Précaution d'emploi : - avec les autres alpha-bloquants Débuter le traitement aux posologies minimales recommandées et adapter progressivement les doses si besoin.
ALPRAZOLAM,INHIBITEURS PUISSANTS DU CYP3A4,À prendre en compte,MINOR,Possible augmentation de l'effet sédatif de l'alprazolam.,
ALUMINIUM (SELS),CITRATES,Précaution d'emploi,MODERATE,"Risque de facilitation du passage systémique de l’aluminium, notamment en cas de fonction rénale altérée. 11","Prendre les topiques gastro-intestinaux à base d'aluminium à distance des citrates (plus de 2 heures si possible), y compris les citrates naturels (jus d'agrumes)."
AMBRISENTAN,CICLOSPORINE,À prendre en compte,MINOR,"Doublement des concentrations d’ambrisentan, avec majoration de l’effet vasodilatateur (céphalées).",
AMINOSIDES,AUTRES AMINOSIDES,À prendre en compte,MINOR,Risque accru de néphrotoxicité et d'ototoxicité (l'ototoxicité est cumulative en cas d'administrations successives).,Contre-indication : - en cas d'administration simultanée A prendre en compte : - en cas d'administrations successives
AMINOSIDES,AMPHOTERICINE B,À prendre en compte,MINOR,Avec l'amphotéricine B administrée par voie IV : risque accru de néphrotoxicité.,
AMINOSIDES,ATALUREN,Contre-indication,MAJOR,Risque de potentialisation de la toxicité rénale de l’aminoside.,
AMINOSIDES,BOTULIQUE (TOXINE),Association déconseillée,MAJOR,Risque d'augmentation des effets de la toxine botulique avec les aminosides (par extrapolation à partir des effets observés au cours du botulisme).,Utiliser un autre antibiotique.
AMINOSIDES,CEFALOTINE,Précaution d'emploi,MODERATE,L'augmentation de la néphrotoxicité des aminosides par la céfalotine est discutée.,Surveillance de la fonction rénale.
AMINOSIDES,CICLOSPORINE,À prendre en compte,MINOR,"Augmentation de la créatininémie plus importante que sous ciclosporine seule, avec majoration du risque néphrotoxique.",
AMINOSIDES,CURARES,Précaution d'emploi,MODERATE,"Potentialisation des curares lorque l'antibiotique est administré par voie parentérale et/ou péritonéale avant, pendant ou après l'agent curarisant.",Surveiller le degré de curarisation en fin d'anesthésie.
AMINOSIDES,DIURÉTIQUES DE L'ANSE,Précaution d'emploi,MODERATE,Augmentation des risques néphrotoxiques et ototoxiques de l'aminoside (insuffisance rénale fonctionnelle liée à la déshydratation entraînée par le diurétique).,"Association possible sous contrôle de l'état d'hydratation, des fonctions rénale et cochléovestibulaire, et éventuellement, des concentrations plasmatiques de l'aminoside."
AMINOSIDES,ORGANOPLATINES,À prendre en compte,MINOR,"Addition des effets néphrotoxiques et/ou ototoxiques, notamment en cas d'insuffisance rénale préalable.",
AMINOSIDES,POLYMYXINE B,Association déconseillée,MAJOR,Addition des effets néphrotoxiques.,"Si l'association ne peut être évitée, surveillance stricte avec une justification bactériologique indiscutable."
AMINOSIDES,TACROLIMUS,À prendre en compte,MINOR,Augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques des deux substances). 12,
AMIODARONE,AFATINIB,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques d’afatinib par augmentation de son absorption par l'amiodarone.,"Il est recommandé d’administrer l'amiodarone le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
AMIODARONE,ANTIVITAMINES K,Précaution d'emploi,MODERATE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'amiodarone et jusqu'à 4 semaines après son arrêt.
AMIODARONE,BÊTA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL) (Y COMPRIS COLLYRES),Précaution d'emploi,MODERATE,Troubles de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs).,Surveillance clinique et ECG.
AMIODARONE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi,MODERATE,Troubles de l'automatisme et de la conduction cardiaque avec risque de bradycardie excessive.,Surveillance clinique et ECG régulière.
AMIODARONE,CICLOSPORINE,Association déconseillée,MAJOR,"Augmentation des concentrations sanguines de ciclosporine, par diminution de son métabolisme hépatique, avec risque d'effets néphrotoxiques.","Dosage des concentrations sanguines de ciclosporine, contrôle de la fonction rénale et adaptation de la posologie de la ciclosporine pendant le traitement par l'amiodarone."
AMIODARONE,COBICISTAT,Contre-indication,MAJOR,Risque de majoration des effets indésirables de l'amiodarone par diminution de son métabolisme par le cobicistat.,
AMIODARONE,DABIGATRAN,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.","Dans l'indication post-chirurgicale : surveillance clinique et adaptation de la posologie du dabigatran si nécessaire, sans excéder 150 mg/j."
